postPatch_label,res_index_label,marker_sum_norm_label,Tree_call_label
nucleus_absent,1,0.746954871,Core
nucleus_present,1,1.243147784,Core
nucleus_present,1,1.082902929,Core
nucleus_present,1,1.0734992,Core
nucleus_present,1,0.864296134,Core
nucleus_present,1,0.68695473,PoorQ
nucleus_absent,1,0.827537151,Core
nucleus_present,1,0.762841905,I1
nucleus_absent,1,0.850059147,Core
nucleus_present,1,0.665806565,Core
nucleus_present,1,0.692074162,Core
nucleus_present,1,0.454510196,I1
nucleus_absent,1,0.577540707,I1
nucleus_present,1,0.699758264,Core
nucleus_present,1,0.690339226,Core
nucleus_present,1,0.657230019,I1
nucleus_present,1,0.846346678,Core
nucleus_absent,1,0.54772441,Core
nucleus_present,1,0.387669662,Core
nucleus_absent,1,0.822332049,I1
nucleus_present,1,0.736583691,I1
nucleus_present,1,0.496900213,Core
nucleus_present,0.869212197,0.554781476,I2
nucleus_present,0.828715574,1.033061193,PoorQ
nucleus_present,0.82187202,1.069623671,PoorQ
nucleus_present,0.782024063,0.942693202,I1
nucleus_present,0.782024063,0.715363158,I1
nucleus_present,0.782024063,0.456333103,I1
nucleus_present,0.782024063,0.449864068,I2
nucleus_present,0.782024063,0.401374493,I1
nucleus_absent,0.759026772,0.642992324,PoorQ
nucleus_present,0.756997294,0.502837153,PoorQ
nucleus_present,0.756997294,0.57543042,PoorQ
nucleus_present,0.725330789,0.791675248,PoorQ
nucleus_present,0.715406018,0.464229326,I2
nucleus_present,0.685573919,0.353360584,PoorQ
nucleus_present,0.681172041,0.788133466,Core
nucleus_absent,0.681172041,0.581711887,I2
nucleus_absent,0.657978718,0.21055897,PoorQ
nucleus_present,0.640849887,0.625026943,I1
nucleus_present,0.615377094,0.687001646,I2
nucleus_present,0.615377094,0.622396831,PoorQ
nucleus_absent,0.596387143,0.889627902,PoorQ
nucleus_present,0.537958423,0.928322944,PoorQ
nucleus_absent,0.537958423,0.712814552,PoorQ
nucleus_absent,0.537958423,0.451547684,PoorQ
nucleus_absent,0.506810247,0.492707569,PoorQ
nucleus_absent,0.506810247,0.975176246,PoorQ
nucleus_absent,0.506810247,0.557421818,PoorQ
nucleus_present,0.504462525,1.038093881,I1
nucleus_absent,0.504462525,0.5466306,PoorQ
nucleus_absent,0.504462525,0.756959535,PoorQ
nucleus_absent,0.504462525,0.519807869,PoorQ
nucleus_present,0.429759471,0.404627954,PoorQ
nucleus_present,0.429759471,0.294625821,PoorQ
nucleus_absent,0.429759471,0.187221563,PoorQ
nucleus_absent,0.380325099,0.593907543,PoorQ
nucleus_absent,0.380325099,0.784295385,PoorQ
nucleus_absent,0.380325099,0.522142499,PoorQ
nucleus_present,0.372654497,0.461728981,PoorQ
nucleus_absent,0.365140676,0.15870576,PoorQ
nucleus_absent,0.365140676,0.287230933,PoorQ
nucleus_absent,0.25471765,0.083339612,PoorQ
nucleus_absent,0.25471765,0.363379019,PoorQ
nucleus_absent,0.25471765,0.964766388,PoorQ
nucleus_absent,0.25471765,0.614447417,PoorQ
nucleus_present,0.25471765,0.286468372,PoorQ
nucleus_absent,0.25471765,0.772762569,PoorQ
nucleus_absent,0.25471765,0.644819114,PoorQ
nucleus_absent,0.25471765,0.286009087,PoorQ
nucleus_absent,0.25471765,0.814212935,PoorQ
nucleus_absent,0.25471765,0.430388557,PoorQ
nucleus_absent,0.25471765,0.361075842,PoorQ
nucleus_absent,0.25471765,0.272975803,PoorQ
nucleus_absent,0.25471765,1.10089072,PoorQ
nucleus_absent,0.25471765,0.548806085,PoorQ
nucleus_absent,0.25471765,0.276247726,PoorQ
nucleus_absent,0.25471765,0.764681393,PoorQ
nucleus_absent,0,0.085892301,PoorQ
nucleus_present,0,0.222760311,PoorQ
nucleus_absent,0,0.113006189,PoorQ
nucleus_absent,0,0.129132806,PoorQ
nucleus_absent,0,0.535142153,PoorQ
nucleus_absent,0,0.155929916,PoorQ
nucleus_absent,0,0.118493125,PoorQ
nucleus_absent,0,0.212280132,PoorQ
nucleus_absent,0,0.094395682,PoorQ
nucleus_absent,0,0.076306733,PoorQ
nucleus_absent,0,0.225602421,PoorQ
nucleus_absent,0,0.221679472,PoorQ
nucleus_absent,0,0.187230637,PoorQ
nucleus_present,0,0.073502996,PoorQ
nucleus_absent,0,0.06091616,PoorQ
nucleus_absent,0,0,PoorQ
nucleus_absent,0,0.159075553,PoorQ
nucleus_absent,0,0.148043617,PoorQ
nucleus_present,0,0.04281038,PoorQ
nucleus_absent,0,0.181304969,PoorQ
nucleus_absent,0,0.169067888,PoorQ
nucleus_absent,0,0.177533458,PoorQ
