postPatch_label,res_index_label,marker_sum_norm_label,Tree_call_label
nucleus_absent,1,0.746954871,Core
nucleus_present,1,1.243147784,Core
nucleus_present,1,1.082902929,Core
nucleus_present,1,1.0734992,Core
nucleus_present,1,0.864296134,Core
nucleus_absent,1,0.827537151,Core
nucleus_present,1,0.762841905,I1
nucleus_absent,1,0.850059147,Core
nucleus_present,1,0.665806565,Core
nucleus_present,1,0.692074162,Core
nucleus_present,1,0.454510196,I1
nucleus_absent,1,0.577540707,I1
nucleus_present,1,0.699758264,Core
nucleus_present,1,0.690339226,Core
nucleus_present,1,0.657230019,I1
nucleus_present,1,0.846346678,Core
nucleus_absent,1,0.54772441,Core
nucleus_present,1,0.387669662,Core
nucleus_absent,1,0.822332049,I1
nucleus_present,1,0.736583691,I1
nucleus_present,1,0.496900213,Core
nucleus_present,0.782024063,0.942693202,I1
nucleus_present,0.782024063,0.715363158,I1
nucleus_present,0.782024063,0.456333103,I1
nucleus_present,0.782024063,0.401374493,I1
nucleus_present,0.640849887,0.625026943,I1
nucleus_present,0.504462525,1.038093881,I1
