TREE-CALL
Inh L1-4 LAMP5 LCP2 (rosehip)
Inh L2-6 LAMP5 CA1 (Igtp)
Inh L1-3 PAX6 SYT6 (Sncg)
Inh L2-5 VIP SERPINF1
Inh L4-5 SST STK32A
Exc L2 LAMP5 LTK
Exc L2-4 LINC00507 GLP2R
Exc L3-5 RORB ESR1
Exc L3-5 RORB ESR1
Exc L3-5 RORB ESR1
Exc L3-5 RORB ESR1
Exc L3-5 RORB ESR1
Exc L4-5 RORB FOLH1B
Exc L4-5 RORB FOLH1B
Exc L4-5 RORB FOLH1B
Exc L4-6 RORB SEMA3E
Exc L4-6 RORB SEMA3E
Exc L4-6 RORB SEMA3E
Exc L4-6 RORB SEMA3E
Exc L4-6 RORB SEMA3E
Exc L4-6 FEZF2 IL26 (NP)
Exc L2-4 LINC00507 GLP2R
Exc L2 LAMP5 LTK
Exc L2-4 LINC00507 GLP2R
Exc L2 LAMP5 LTK
Exc L3-5 RORB COL22A1
Inh L5-6 SST KLHDC8A
Inh L2-4 PVALB WFDC2
